sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
0,26,27,446,417,916,3,3,0
1,28,21,394,1689,2132,3,2,1
2,25,28,522,353,928,3,3,0
3,24,26,338,592,980,3,3,0
4,25,28,364,577,994,3,3,0
5,27,25,342,529,923,3,3,0
6,23,24,332,498,877,3,3,0
7,25,27,408,582,1042,3,3,0
8,25,25,415,477,942,3,3,0
9,23,21,247,598,889,3,3,0
10,23,24,322,562,931,3,3,0
11,23,23,307,631,984,3,3,0
12,33,21,331,600,985,3,3,0
13,29,22,398,527,976,3,3,0
14,28,20,331,585,964,3,3,0
15,28,21,405,546,1000,3,3,0
16,19,20,353,598,990,3,3,0
17,32,19,252,636,939,3,3,0
18,22,20,356,519,917,3,3,0
19,23,23,358,593,997,3,3,0
20,33,26,425,525,1009,3,3,0
21,23,23,338,500,884,3,3,0
22,23,24,310,627,984,3,3,0
23,35,24,322,621,1002,3,3,0
24,31,22,320,678,1051,3,3,0
25,27,18,324,560,929,3,3,0
26,25,24,351,460,860,3,3,0
27,22,22,266,701,1011,3,3,0
28,22,23,347,620,1012,3,3,0
29,28,20,286,688,1022,3,3,0
30,23,22,281,609,935,3,3,0
31,33,23,261,649,966,3,3,0
32,27,19,345,669,1060,3,3,0
33,31,20,292,588,931,3,3,0
34,21,22,360,519,922,3,3,0
35,33,21,357,478,889,3,3,0
36,24,22,318,561,925,3,3,0
37,28,24,320,656,1028,3,3,0
38,32,22,299,541,894,3,3,0
39,31,20,249,550,850,3,3,0
40,23,21,374,617,1035,3,3,0
41,22,22,379,545,968,3,3,0
42,21,21,361,632,1035,3,3,0
43,23,24,336,582,965,3,3,0
44,22,22,339,612,995,3,3,0
45,27,25,369,569,990,3,3,0
46,24,24,353,523,924,3,3,0
47,23,23,310,579,935,3,3,0
48,21,21,325,506,873,3,3,0
49,32,21,295,613,961,3,3,0
50,33,23,344,562,962,3,3,0
51,34,22,341,564,961,3,3,0
52,21,23,248,622,914,3,3,0
53,21,21,327,550,919,3,3,0
54,31,21,328,531,911,3,3,0
55,34,23,331,520,908,3,3,0
56,23,22,304,693,1042,3,3,0
57,33,23,359,568,983,3,3,0
58,19,20,345,639,1023,3,3,0
59,29,22,322,647,1020,3,3,0
60,32,21,354,465,872,3,3,0
61,31,22,397,576,1026,3,3,0
62,23,23,312,588,946,3,3,0
63,22,23,320,485,850,3,3,0
64,21,20,352,557,950,3,3,0
65,19,20,353,621,1013,3,3,0
66,22,25,373,624,1044,3,3,0
67,22,21,298,620,961,3,3,0
68,18,18,309,511,856,3,3,0
69,24,20,352,568,964,3,3,0
70,25,19,409,419,872,3,3,0
71,49,23,301,580,953,3,3,0
72,28,23,301,690,1042,3,3,0
73,21,21,246,612,900,3,3,0
74,26,20,323,538,907,3,3,0
75,28,25,339,657,1049,3,3,0
76,23,19,243,583,868,3,3,0
77,33,21,328,624,1006,3,3,0
78,23,23,276,562,884,3,3,0
79,25,22,243,627,917,3,3,0
80,23,19,267,544,853,3,3,0
81,33,25,272,623,953,3,3,0
82,31,22,274,607,934,3,3,0
83,32,23,370,506,931,3,3,0
84,30,19,320,619,988,3,3,0
85,23,24,357,473,877,3,3,0
86,23,22,378,567,990,3,3,0
87,23,22,396,587,1028,3,3,0
88,23,22,276,529,850,3,3,0
89,25,25,395,443,888,3,3,0
90,25,29,374,627,1055,3,3,0
91,29,20,392,598,1039,3,3,0
92,32,20,340,598,990,3,3,0
93,18,18,297,531,864,3,3,0
94,23,23,292,585,923,3,3,0
95,22,25,357,611,1015,3,3,0
96,23,24,330,502,879,3,3,0
97,29,21,319,666,1035,3,3,0
98,22,21,358,638,1039,3,3,0
99,21,22,406,478,927,3,3,0
100,32,25,341,587,985,3,3,0
101,23,23,326,590,962,3,3,0
102,20,21,366,626,1033,3,3,0
103,23,23,285,518,849,3,3,0
104,22,21,431,566,1040,3,3,0
105,31,19,386,569,1005,3,3,0
106,22,22,401,438,883,3,3,0
107,34,23,314,671,1042,3,3,0
108,33,22,372,588,1015,3,3,0
109,31,22,384,597,1034,3,3,0
110,33,21,296,697,1047,3,3,0
111,23,23,351,591,988,3,3,0
112,34,22,370,645,1071,3,3,0
113,31,21,345,598,995,3,3,0
114,19,21,354,493,887,3,3,0
115,32,21,274,652,979,3,3,0
116,32,20,268,690,1010,3,3,0
117,18,18,344,640,1020,3,3,0
118,23,24,366,578,991,3,3,0
119,22,21,369,549,961,3,3,0
120,21,22,411,570,1024,3,3,0
121,26,21,387,652,1086,3,3,0
122,19,20,370,580,989,3,3,0
123,23,25,334,510,892,3,3,0
124,22,23,357,579,981,3,3,0
125,23,24,296,661,1004,3,3,0
126,23,24,319,561,927,3,3,0
127,32,23,332,639,1026,3,3,0
128,24,23,330,536,913,3,3,0
129,22,21,307,661,1011,3,3,0
130,23,22,369,588,1002,3,3,0
131,22,21,376,520,939,3,3,0
132,24,24,382,629,1059,3,3,0
133,22,21,344,570,957,3,3,0
134,22,24,360,576,982,3,3,0
135,23,21,348,579,971,3,3,0
136,22,20,318,522,882,3,3,0
137,23,24,385,580,1012,3,3,0
138,23,24,415,520,982,3,3,0
139,22,21,351,593,987,3,3,0
140,22,21,271,539,853,3,3,0
141,21,21,374,651,1067,3,3,0
142,23,23,357,590,993,3,3,0
143,22,21,382,450,875,3,3,0
144,22,21,303,538,884,3,3,0
145,23,23,291,762,1099,3,3,0
146,23,22,361,669,1075,3,3,0
