sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
17413,16,11,343,490,860,3,3,0
17414,11,12,260,640,923,3,3,0
17415,17,11,246,593,867,3,3,0
17416,16,11,272,579,878,3,3,0
17417,11,11,322,518,862,3,3,0
17418,16,11,292,570,889,3,3,0
17419,11,11,262,625,909,3,3,0
17420,16,11,290,621,938,3,3,0
17421,11,11,263,621,906,3,3,0
17422,11,11,264,626,912,3,3,0
17423,11,11,264,627,913,3,3,0
17424,11,12,262,635,920,3,3,0
17425,11,12,324,567,914,3,3,0
17426,11,11,263,628,913,3,3,0
17427,16,11,299,586,912,3,3,0
17428,11,11,263,639,924,3,3,0
17429,11,11,263,650,935,3,3,0
17430,11,11,325,583,930,3,3,0
17431,11,11,288,621,931,3,3,0
17432,16,11,307,705,1039,3,3,0
17433,11,11,326,563,911,3,3,0
17434,11,11,265,620,907,3,3,0
17435,11,11,323,569,914,3,3,0
17436,11,11,323,564,909,3,3,0
17437,11,11,263,634,919,3,3,0
17438,16,11,292,636,955,3,3,0
17439,11,11,265,672,959,3,3,0
17440,11,11,261,633,916,3,3,0
17441,11,11,237,664,923,3,3,0
17442,16,11,268,511,806,3,3,0
17443,16,11,272,586,885,3,3,0
17444,16,11,273,540,840,3,3,0
17445,17,11,296,571,895,3,3,0
17446,17,11,296,599,923,3,3,0
17447,11,11,265,628,915,3,3,0
17448,11,11,265,604,891,3,3,0
17449,11,11,327,580,929,3,3,0
17450,16,11,311,667,1005,3,3,0
17451,13,13,240,676,942,3,3,0
17452,17,12,284,524,837,3,3,0
17453,17,12,320,575,924,3,3,0
17454,15,12,240,670,937,3,3,0
17455,17,12,283,556,868,3,3,0
17456,18,17,296,609,940,3,3,0
17457,18,13,326,555,912,3,3,0
17458,17,20,312,565,914,3,3,0
17459,11,12,295,613,931,3,3,0
17460,18,15,254,635,922,3,3,0
17461,16,11,306,565,898,3,3,0
17462,16,11,311,577,915,3,3,0
17463,16,11,312,649,988,3,3,0
17464,11,11,265,603,890,3,3,0
17465,16,11,313,588,928,3,3,0
17466,11,11,262,626,910,3,3,0
17467,11,11,264,648,934,3,3,0
17468,11,12,259,603,885,3,3,0
17469,17,11,275,536,839,3,3,0
17470,16,13,253,543,825,3,3,0
17471,16,11,309,571,907,3,3,0
17472,11,12,284,630,937,3,3,0
17473,11,11,207,681,910,3,3,0
17474,16,11,304,533,864,3,3,0
17475,9,9,295,552,865,3,3,0
17476,9,10,298,504,821,3,3,0
17477,9,11,308,576,904,3,3,0
17478,9,10,319,494,832,3,3,0
17479,9,10,302,497,818,3,3,0
17480,9,10,298,502,819,3,3,0
17481,10,10,322,530,872,3,3,0
17482,9,10,292,532,843,3,3,0
17483,14,10,258,594,876,3,3,0
17484,13,12,232,665,922,3,3,0
17485,13,12,235,698,958,3,3,0
17486,15,12,253,602,882,3,3,0
17487,14,12,309,598,933,3,3,0
17488,14,10,314,651,989,3,3,0
17489,14,10,261,594,879,3,3,0
17490,13,10,268,555,846,3,3,0
17491,9,9,307,517,842,3,3,0
17492,14,10,313,605,942,3,3,0
17493,14,10,308,618,950,3,3,0
17494,13,10,311,570,904,3,3,0
17495,9,9,325,526,869,3,3,0
17496,9,9,238,611,867,3,3,0
17497,9,9,298,566,882,3,3,0
17498,13,11,340,588,952,3,3,0
17499,14,13,262,556,845,3,3,0
17500,13,15,257,588,873,3,3,0
17501,13,9,283,576,881,3,3,0
17502,16,12,284,601,913,3,3,0
17503,13,9,265,565,852,3,3,0
17504,9,9,285,557,860,3,3,0
17505,14,10,311,565,900,3,3,0
17506,14,10,306,600,930,3,3,0
17507,10,12,279,602,903,3,3,0
17508,13,10,311,587,921,3,3,0
17509,13,15,273,537,838,3,3,0
17510,20,11,304,593,928,3,3,0
17511,9,10,289,546,854,3,3,0
17512,14,14,306,596,930,3,3,0
17513,9,9,230,625,873,3,3,0
17514,9,9,318,574,910,3,3,0
17515,9,10,291,569,879,3,3,0
17516,9,10,298,570,887,3,3,0
