sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
17348,8,10,272,555,845,3,3,0
17349,12,10,349,551,922,3,3,0
17350,12,10,338,597,957,3,3,0
17351,8,9,275,572,864,3,3,0
17352,12,10,308,569,899,3,3,0
17353,12,9,328,549,898,3,3,0
17354,12,10,396,523,941,3,3,0
17355,8,9,297,507,821,3,3,0
17356,12,10,347,496,865,3,3,0
17357,8,10,286,541,845,3,3,0
17358,12,10,343,581,946,3,3,0
17359,12,10,313,595,930,3,3,0
17360,8,10,266,544,828,3,3,0
17361,12,10,316,608,946,3,3,0
17362,12,10,341,511,874,3,3,0
17363,8,9,309,583,909,3,3,0
17364,8,10,268,549,835,3,3,0
17365,12,10,319,535,876,3,3,0
17366,12,10,335,539,896,3,3,0
17367,12,9,315,602,938,3,3,0
17368,8,10,287,574,879,3,3,0
17369,12,10,328,577,927,3,3,0
17370,8,10,281,533,832,3,3,0
17371,12,10,407,462,891,3,3,0
17372,12,10,316,535,873,3,3,0
17373,8,10,285,549,852,3,3,0
17374,12,9,337,521,879,3,3,0
17375,8,9,268,654,939,3,3,0
17376,12,10,330,523,875,3,3,0
17377,8,9,275,546,838,3,3,0
17378,12,10,351,527,900,3,3,0
17379,12,9,349,536,906,3,3,0
17380,11,9,336,576,932,3,3,0
17381,12,10,421,440,883,3,3,0
17382,12,10,226,598,846,3,3,0
17383,12,9,266,544,831,3,3,0
17384,8,10,236,576,830,3,3,0
17385,8,10,259,595,872,3,3,0
17386,12,10,297,586,905,3,3,0
17387,8,10,269,550,837,3,3,0
17388,7,9,289,599,904,3,3,0
17389,8,10,261,653,932,3,3,0
17390,8,10,259,669,946,3,3,0
17391,8,10,256,582,856,3,3,0
17392,8,10,255,610,883,3,3,0
17393,8,10,256,634,908,3,3,0
17394,8,10,258,610,886,3,3,0
17395,9,12,250,601,872,3,3,0
17396,10,12,250,624,896,3,3,0
17397,11,14,275,592,892,3,3,0
17398,11,12,311,501,835,3,3,0
17399,12,14,291,610,927,3,3,0
17400,17,14,277,559,867,3,3,0
17401,11,12,247,641,911,3,3,0
17402,12,13,387,492,904,3,3,0
17403,17,14,279,638,948,3,3,0
17404,12,14,369,566,961,3,3,0
17405,12,14,383,494,903,3,3,0
17406,12,14,359,571,956,3,3,0
17407,17,13,317,531,878,3,3,0
17408,17,14,261,565,857,3,3,0
17409,17,15,322,508,862,3,3,0
17410,17,13,267,629,926,3,3,0
17411,11,12,283,635,941,3,3,0
17412,12,14,369,561,956,3,3,0
17413,18,15,245,641,919,3,3,0
17414,12,14,323,587,936,3,3,0
17415,17,13,286,612,928,3,3,0
17416,17,14,236,620,887,3,3,0
17417,11,12,306,544,873,3,3,0
17418,12,14,337,554,917,3,3,0
17419,12,13,378,534,937,3,3,0
17420,17,14,246,570,847,3,3,0
17421,11,12,286,501,810,3,3,0
17422,16,13,277,586,892,3,3,0
17423,17,14,266,569,866,3,3,0
17424,15,15,312,555,897,3,3,0
17425,14,15,290,583,902,3,3,0
17426,15,17,268,572,872,3,3,0
17427,15,16,276,576,883,3,3,0
17428,14,15,289,584,902,3,3,0
17429,15,17,303,576,911,3,3,0
17430,14,15,286,587,902,3,3,0
17431,16,19,313,558,906,3,3,0
17432,16,20,256,579,871,3,3,0
17433,16,19,236,635,906,3,3,0
17434,13,14,279,640,946,3,3,0
17435,15,17,285,572,889,3,3,0
17436,16,18,281,559,874,3,3,0
17437,14,15,294,625,948,3,3,0
17438,15,15,285,555,870,3,3,0
17439,14,14,280,647,955,3,3,0
17440,14,14,312,579,919,3,3,0
17441,15,16,279,595,905,3,3,0
17442,15,16,228,582,841,3,3,0
17443,15,16,254,619,904,3,3,0
17444,14,14,285,581,894,3,3,0
17445,15,16,323,612,966,3,3,0
17446,15,16,300,571,902,3,3,0
17447,14,15,260,648,937,3,3,0
17448,15,16,324,584,939,3,3,0
17449,14,15,312,547,888,3,3,0
17450,14,14,264,600,892,3,3,0
17451,14,14,252,578,858,3,3,0
17452,14,14,271,616,915,3,3,0
17453,14,13,306,598,931,3,3,0
17454,14,13,320,552,899,3,3,0
17455,15,16,257,630,918,3,3,0
17456,15,16,293,593,917,3,3,0
17457,14,14,269,588,885,3,3,0
17458,14,14,285,638,951,3,3,0
17459,15,16,235,583,849,3,3,0
17460,14,15,268,606,903,3,3,0
17461,15,16,314,615,960,3,3,0
17462,15,16,338,542,911,3,3,0
17463,14,15,330,626,985,3,3,0
17464,15,16,284,592,907,3,3,0
17465,14,14,270,635,933,3,3,0
17466,14,14,288,641,957,3,3,0
17467,14,14,245,625,898,3,3,0
17468,14,13,321,609,957,3,3,0
17469,15,16,281,572,884,3,3,0
17470,14,14,261,635,924,3,3,0
17471,15,15,335,562,927,3,3,0
17472,14,14,266,634,928,3,3,0
17473,14,14,312,559,899,3,3,0
17474,14,13,384,550,961,3,3,0
17475,15,16,253,604,888,3,3,0
17476,14,14,308,556,892,3,3,0
17477,14,14,312,630,970,3,3,0
17478,14,14,248,884,1160,3,3,0
17479,15,15,303,563,896,3,3,0
17480,15,16,290,559,880,3,3,0
17481,14,15,271,613,913,3,3,0
17482,15,16,229,578,838,3,3,0
17483,14,14,317,521,866,3,3,0
17484,14,14,272,551,851,3,3,0
17485,13,14,337,502,866,3,3,0
17486,13,14,298,586,911,3,3,0
17487,13,14,304,574,905,3,3,0
17488,15,16,261,854,1146,3,3,0
17489,15,16,294,559,884,3,3,0
17490,15,16,331,535,897,3,3,0
17491,14,14,339,544,911,3,3,0
17492,14,14,267,553,848,3,3,0
17493,14,14,318,878,1224,3,3,0
17494,15,16,263,606,900,3,3,0
17495,14,14,283,543,854,3,3,0
17496,14,15,291,596,916,3,3,0
