sample,encode_us,write_syscall_us,roundtrip_us,drain_us,total_us,expected_replies,received_replies,timed_out
15103,42,15,265,656,978,3,3,0
15104,41,17,286,574,918,3,3,0
15105,43,16,308,614,981,3,3,0
15106,45,19,297,545,906,3,3,0
15107,32,17,227,617,893,3,3,0
15108,27,10,325,606,968,3,3,0
15109,26,13,227,745,1011,3,3,0
15110,25,11,281,753,1070,3,3,0
15111,20,11,326,601,958,3,3,0
15112,20,12,332,635,999,3,3,0
15113,20,11,266,526,823,3,3,0
15114,20,11,342,596,969,3,3,0
15115,20,11,335,537,903,3,3,0
15116,20,11,337,571,939,3,3,0
15117,21,12,322,579,934,3,3,0
15118,21,12,333,552,918,3,3,0
15119,21,13,332,517,883,3,3,0
15120,22,12,334,667,1035,3,3,0
15121,21,12,364,588,985,3,3,0
15122,21,12,348,628,1009,3,3,0
15123,22,13,336,637,1008,3,3,0
15124,21,12,332,598,963,3,3,0
15125,22,12,322,697,1053,3,3,0
15126,22,12,284,522,840,3,3,0
15127,21,12,331,721,1085,3,3,0
15128,21,13,355,641,1030,3,3,0
15129,21,12,351,594,978,3,3,0
15130,20,11,318,526,875,3,3,0
15131,21,12,301,654,988,3,3,0
15132,22,12,331,637,1002,3,3,0
15133,21,12,333,629,995,3,3,0
15134,21,12,326,496,855,3,3,0
15135,21,12,299,691,1023,3,3,0
15136,21,12,336,598,967,3,3,0
15137,21,13,331,545,910,3,3,0
15138,21,13,327,608,969,3,3,0
15139,22,13,328,577,940,3,3,0
15140,21,12,325,707,1065,3,3,0
15141,21,12,331,567,931,3,3,0
15142,21,13,298,604,936,3,3,0
15143,21,12,327,588,948,3,3,0
15144,21,12,325,575,933,3,3,0
15145,21,12,263,546,842,3,3,0
15146,22,13,263,587,885,3,3,0
15147,21,13,325,572,931,3,3,0
15148,22,13,331,591,957,3,3,0
15149,21,12,300,649,982,3,3,0
15150,21,13,336,692,1062,3,3,0
15151,21,12,338,583,954,3,3,0
15152,21,13,332,576,942,3,3,0
15153,22,12,309,575,918,3,3,0
15154,21,12,312,625,970,3,3,0
15155,21,12,339,611,983,3,3,0
15156,21,12,335,632,1000,3,3,0
15157,21,12,270,603,906,3,3,0
15158,22,12,336,574,944,3,3,0
15159,21,13,336,563,933,3,3,0
15160,21,12,342,629,1004,3,3,0
15161,20,12,336,601,969,3,3,0
15162,21,12,326,617,976,3,3,0
15163,22,12,323,575,932,3,3,0
15164,21,12,300,625,958,3,3,0
15165,21,13,325,613,972,3,3,0
15166,22,12,370,518,922,3,3,0
15167,21,13,345,603,982,3,3,0
15168,20,12,317,532,881,3,3,0
15169,20,12,318,533,883,3,3,0
15170,20,11,342,589,962,3,3,0
15171,20,11,344,694,1069,3,3,0
15172,20,12,314,579,925,3,3,0
15173,20,12,297,508,837,3,3,0
15174,20,11,335,590,956,3,3,0
15175,20,11,345,584,960,3,3,0
15176,20,11,349,463,843,3,3,0
15177,20,12,294,542,868,3,3,0
15178,20,11,338,551,920,3,3,0
15179,20,11,339,567,937,3,3,0
15180,24,13,306,589,932,3,3,0
15181,24,12,378,509,923,3,3,0
15182,24,13,396,508,941,3,3,0
15183,29,15,318,533,895,3,3,0
15184,30,15,260,677,982,3,3,0
15185,30,15,260,692,997,3,3,0
15186,29,17,233,753,1032,3,3,0
15187,29,15,332,577,953,3,3,0
15188,29,15,335,569,948,3,3,0
15189,30,15,326,583,954,3,3,0
15190,30,16,335,525,906,3,3,0
15191,30,16,284,675,1005,3,3,0
15192,30,17,279,726,1052,3,3,0
15193,29,16,288,746,1079,3,3,0
15194,31,17,303,591,942,3,3,0
15195,31,17,417,475,940,3,3,0
15196,32,20,452,452,956,3,3,0
15197,31,20,382,522,955,3,3,0
15198,31,18,440,467,956,3,3,0
15199,31,17,326,642,1016,3,3,0
15200,22,15,262,657,956,3,3,0
15201,20,14,368,578,980,3,3,0
15202,38,13,337,553,941,3,3,0
15203,21,15,326,536,898,3,3,0
15204,43,28,225,671,967,3,3,0
15205,40,15,314,591,960,3,3,0
15206,32,18,299,537,886,3,3,0
15207,33,16,292,571,912,3,3,0
15208,33,16,319,619,987,3,3,0
15209,33,17,319,612,981,3,3,0
15210,32,16,321,615,984,3,3,0
15211,33,16,313,545,907,3,3,0
15212,33,17,316,600,966,3,3,0
15213,32,16,317,641,1006,3,3,0
15214,40,19,315,499,873,3,3,0
15215,42,19,327,527,915,3,3,0
15216,31,17,335,574,957,3,3,0
15217,31,19,388,516,954,3,3,0
15218,50,31,303,611,995,3,3,0
15219,41,16,295,516,868,3,3,0
15220,43,17,251,603,914,3,3,0
15221,38,12,293,607,950,3,3,0
15222,38,13,286,665,1002,3,3,0
15223,40,28,234,601,903,3,3,0
15224,38,13,290,635,976,3,3,0
15225,40,29,270,555,894,3,3,0
15226,40,15,280,642,977,3,3,0
15227,21,14,310,642,987,3,3,0
15228,21,15,324,613,973,3,3,0
15229,40,15,323,552,930,3,3,0
15230,41,14,287,590,932,3,3,0
15231,41,27,311,606,985,3,3,0
15232,40,15,348,589,992,3,3,0
15233,40,15,346,531,932,3,3,0
15234,42,25,290,572,929,3,3,0
15235,40,29,336,583,988,3,3,0
15236,40,15,293,575,923,3,3,0
15237,40,15,346,540,941,3,3,0
15238,40,15,331,585,971,3,3,0
15239,40,15,259,609,923,3,3,0
15240,40,15,352,508,915,3,3,0
15241,32,27,356,464,879,3,3,0
15242,31,26,264,601,922,3,3,0
15243,32,26,340,635,1033,3,3,0
15244,32,19,356,548,955,3,3,0
15245,31,18,367,611,1027,3,3,0
15246,31,17,359,518,925,3,3,0
15247,32,17,364,505,918,3,3,0
